num_clauses,num_vars,num_literals,temps,memUsage
2558000,30,3,0.000000,40924956
2560000,4,1,0.000000,40961232
2562000,33,3,0.000000,40992228
2564000,7,1,0.000000,41013636
2566000,16,2,0.000000,41049204
2568000,31,2,0.000000,41091856
2570000,45,3,0.000000,41119648
2572000,6,1,0.000000,41149536
2574000,45,2,0.000000,41179892
2576000,44,3,0.000000,41206552
2578000,29,3,0.000000,41243224
2580000,39,3,0.000000,41283296
2582000,50,3,0.000000,41311376
2584000,13,3,0.000000,41343612
2586000,50,3,0.000000,41375568
2588000,16,2,0.000000,41403828
2590000,2,3,0.015000,41450384
2592000,42,2,0.000000,41468876
2594000,12,1,0.000000,41507112
2596000,50,1,0.000000,41534028
2598000,17,1,0.000000,41555824
2600000,29,2,0.000000,41588180
2602000,11,1,0.000000,41639280
2604000,47,3,0.000000,41663336
2606000,20,1,0.000000,41691496
2608000,37,1,0.000000,41736688
2610000,3,3,0.000000,41767528
2612000,35,3,0.000000,41795200
2614000,49,1,0.000000,41822124
2616000,18,2,0.000000,41849136
2618000,34,3,0.000000,41890420
2620000,29,1,0.000000,41919636
2622000,32,2,0.000000,41951528
2624000,17,3,0.000000,41988992
2626000,8,3,0.000000,42018492
2628000,30,1,0.000000,42045104
2630000,16,2,0.000000,42077360
2632000,32,1,0.000000,42114320
2634000,44,2,0.000000,42148408
2636000,35,3,0.000000,42182448
2638000,43,2,0.000000,42208132
2640000,7,1,0.000000,42244620
2642000,30,3,0.000000,42265500
2644000,43,2,0.000000,42310000
2646000,38,1,0.000000,42338832
2648000,3,1,0.000000,42367384
2650000,15,2,0.000000,42399728
2652000,28,3,0.000000,42429132
2654000,32,2,0.000000,42460988
2656000,40,1,0.000000,42501024
2658000,10,3,0.015000,42526468
2660000,47,3,0.000000,42556304
2662000,2,1,0.000000,42597452
2664000,36,3,0.000000,42624488
2666000,49,3,0.000000,42646168
2668000,9,2,0.000000,42693176
2670000,15,3,0.000000,42724644
2672000,13,2,0.000000,42758696
2674000,17,2,0.000000,42784568
2676000,19,2,0.000000,42812220
2678000,21,2,0.000000,42847556
2680000,36,3,0.000000,42875156
2682000,19,1,0.000000,42913480
2684000,45,2,0.000000,42937592
2686000,44,3,0.000000,42985320
2688000,41,2,0.000000,43012200
2690000,15,1,0.000000,43037252
2692000,41,3,0.000000,43073100
2694000,29,2,0.000000,43103144
2696000,2,2,0.000000,43137508
2698000,12,3,0.000000,43167440
2700000,30,3,0.000000,43200364
